#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","CABPSV020000001.1",34325,34787,"-",,,"HEP_00001200","VWU48088.1",58,"conserved protein, unknown function"
"Un","CABPSV020000001.1",35044,37511,"-",,,"HEP_00001300","VWU48089.1",357,"conserved protein, unknown function"
"Un","CABPSV020000001.1",40264,41524,"-",,,"HEP_00001400","VWU48090.1",333,"PIR protein"
"Un","CABPSV020000001.1",43388,44209,"-",,,"HEP_00001500","VWU48091.1",273,"hypothetical protein HEP_00001500"
"Un","CABPSV020000001.1",46096,46872,"-",,,"HEP_00001600","VWU48092.1",258,"hypothetical protein HEP_00001600"
"Un","CABPSV020000001.1",48634,49057,"-",,,"HEP_00001700","VWU48093.1",85,"hypothetical protein HEP_00001700"
"Un","CABPSV020000001.1",54058,54399,"-",,,"HEP_00001800","VWU48094.1",113,"conserved protein, unknown function"
"Un","CABPSV020000001.1",56088,56378,"-",,,"HEP_00001900","VWU48095.1",96,"hypothetical protein HEP_00001900"
"Un","CABPSV020000001.1",61876,62229,"-",,,"HEP_00002000","VWU48096.1",117,"conserved protein, unknown function"
"Un","CABPSV020000001.1",69758,71251,"-",,,"HEP_00002200","VWU48098.1",497,"thrombospondin-related anonymous protein"
"Un","CABPSV020000001.1",76674,77051,"-",,,"HEP_00002300","VWU48099.1",125,"conserved protein, unknown function"
"Un","CABPSV020000001.1",79401,79919,"-",,,"HEP_00002400","VWU48100.1",172,"hypothetical protein HEP_00002400"
"Un","CABPSV020000010.1",248,1432,"-",,,"HEP_00013900","VWU48215.1",394,"conserved protein, unknown function"
"Un","CABPSV020000010.1",4115,7591,"-",,,"HEP_00014000","VWU48216.1",792,"conserved protein, unknown function"
"Un","CABPSV020000010.1",8364,12096,"-",,,"HEP_00014100","VWU48217.1",922,"GTPase-activating protein, putative"
"Un","CABPSV020000010.1",13568,14619,"-",,,"HEP_00014200","VWU48218.1",198,"trafficking protein particle complex subunit 1, putative"
"Un","CABPSV020000010.1",15075,18875,"-",,,"HEP_00014300","VWU48219.1",1266,"conserved protein, unknown function"
"Un","CABPSV020000010.1",19474,24824,"-",,,"HEP_00014400","VWU48220.1",1588,"DNA mismatch repair protein, putative"
"Un","CABPSV020000010.1",26330,28288,"-",,,"HEP_00014500","VWU48221.1",652,"COBW domain-containing protein 1, putative"
"Un","CABPSV020000010.1",29335,30384,"-",,,"HEP_00014600","VWU48222.1",349,"ribonucleotide reductase small subunit"
"Un","CABPSV020000010.1",32766,34778,"-",,,"HEP_00014700","VWU48223.1",670,"RING zinc finger protein, putative"
"Un","CABPSV020000010.1",36523,40768,"-",,,"HEP_00014800","VWU48224.1",957,"ribosome biogenesis protein BOP1, putative"
"Un","CABPSV020000010.1",41936,44950,"-",,,"HEP_00014900","VWU48225.1",1004,"RNA-binding protein, putative"
"Un","CABPSV020000010.1",46367,47093,"-",,,"HEP_00015000","VWU48226.1",105,"RNA-binding protein, putative"
"Un","CABPSV020000010.1",48134,51955,"-",,,"HEP_00015100","VWU48227.1",1273,"conserved protein, unknown function"
"Un","CABPSV020000010.1",54587,56727,"-",,,"HEP_00015200","VWU48228.1",713,"transcription elongation factor SPT6, putative, partial"
"Un","CABPSV020000100.1",1583,9609,"-",,,"HEP_00094600","VWU49009.1",2305,"phosphoinositide-binding protein, putative"
"Un","CABPSV020000100.1",12563,14549,"-",,,"HEP_00094700","VWU49010.1",234,"conserved protein, unknown function"
"Un","CABPSV020000100.1",15027,21890,"-",,,"HEP_00094800","VWU49011.1",2223,"conserved membrane protein, unknown function, partial"
"Un","CABPSV020000100.1",23898,25237,"-",,,"HEP_00094900","VWU49012.1",273,"conserved protein, unknown function"
"Un","CABPSV020000100.1",25727,27391,"-",,,"HEP_00095000","VWU49013.1",165,"Ham1-like protein, putative, partial"
"Un","CABPSV020000100.1",29362,30075,"-",,,"HEP_00095100","VWU49014.1",237,"conserved protein, unknown function"
"Un","CABPSV020001000.1",3,5297,"-",,,"HEP_00414700","VWU52186.1",1764,"conserved protein, unknown function, partial"
"Un","CABPSV020001001.1",601,2439,"-",,,"HEP_00414800","VWU52187.1",612,"hypothetical protein HEP_00414800"
"Un","CABPSV020001001.1",3357,4994,"-",,,"HEP_00414900","VWU52188.1",545,"adrenodoxin reductase, putative"
"Un","CABPSV020001002.1",1334,3541,"-",,,"HEP_00415000","VWU52189.1",735,"methionine aminopeptidase 1c, putative"
"Un","CABPSV020001003.1",540,4747,"-",,,"HEP_00415100","VWU52190.1",1403,"DNA topoisomerase 2, putative, partial"
"Un","CABPSV020001004.1",54,1549,"-",,,"HEP_00415200","VWU52191.1",401,"conserved protein, unknown function"
"Un","CABPSV020001004.1",4437,5229,"-",,,"HEP_00415300","VWU52192.1",239,"LEM3 (ligand-effect modulator 3) family / CDC50 family, putative"
"Un","CABPSV020001005.1",3393,4526,"-",,,"HEP_00415400","VWU52193.1",377,"conserved protein, unknown function"
"Un","CABPSV020001006.1",1067,4120,"-",,,"HEP_00415500","VWU52194.1",1017,"RNA helicase, putative"
"Un","CABPSV020001007.1",1567,2505,"-",,,"HEP_00415600","VWU52195.1",312,"NIMA related kinase 3"
"Un","CABPSV020001007.1",4180,4667,"-",,,"HEP_00415700","VWU52196.1",161,"conserved protein, unknown function, partial"
"Un","CABPSV020001008.1",1362,5024,"-",,,"HEP_00415800","VWU52197.1",983,"conserved membrane protein, unknown function"
"Un","CABPSV020001009.1",131,640,"-",,,"HEP_00415900","VWU52198.1",169,"hypothetical protein HEP_00415900"
"Un","CABPSV020001009.1",2728,5060,"-",,,"HEP_00416000","VWU52199.1",362,"DNA replication origin binding protein, putative"
"Un","CABPSV020000101.1",1113,2248,"-",,,"HEP_00095200","VWU49015.1",193,"peptidyl-prolyl cis-trans isomerase, putative"
"Un","CABPSV020000101.1",2775,4164,"-",,,"HEP_00095300","VWU49016.1",240,"AP2 domain transcription factor, putative"
"Un","CABPSV020000101.1",5469,6989,"-",,,"HEP_00095400","VWU49017.1",506,"cysteine proteinase, putative"
"Un","CABPSV020000101.1",8268,12009,"-",,,"HEP_00095500","VWU49018.1",748,"SET domain protein, putative"
"Un","CABPSV020000101.1",15739,18384,"-",,,"HEP_00095600","VWU49019.1",304,"conserved protein, unknown function"
"Un","CABPSV020000101.1",19055,21700,"-",,,"HEP_00095700","VWU49020.1",304,"conserved protein, unknown function"
"Un","CABPSV020000101.1",22153,23215,"-",,,"HEP_00095800","VWU49021.1",153,"conserved protein, unknown function"
"Un","CABPSV020000101.1",23675,30138,"-",,,"HEP_00095900","VWU49022.1",2153,"conserved protein, unknown function, partial"
"Un","CABPSV020001010.1",1,2749,"-",,,"HEP_00416100","VWU52200.1",670,"WD domain, G-beta repeat, putative, partial"
"Un","CABPSV020001010.1",3274,4764,"-",,,"HEP_00416200","VWU52201.1",496,"tRNA pseudouridine synthase, putative"
"Un","CABPSV020001011.1",441,1111,"-",,,"HEP_00416300","VWU52202.1",222,"conserved membrane protein, unknown function, partial"
"Un","CABPSV020001011.1",2698,3228,"-",,,"HEP_00416400","VWU52203.1",176,"conserved membrane protein, unknown function"
"Un","CABPSV020001012.1",703,2577,"-",,,"HEP_00416500","VWU52204.1",624,"proline--tRNA ligase, putative"
"Un","CABPSV020001012.1",2755,4259,"-",,,"HEP_00416600","VWU52205.1",389,"ribosomal RNA-processing protein 8, putative"
"Un","CABPSV020001013.1",702,2327,"-",,,"HEP_00416700","VWU52206.1",541,"nicotinamidase, putative"
"Un","CABPSV020001013.1",2828,3974,"-",,,"HEP_00416800","VWU52207.1",132,"conserved protein, unknown function"
"Un","CABPSV020001014.1",268,4842,"-",,,"HEP_00416900","VWU52208.1",1333,"conserved protein, unknown function"
"Un","CABPSV020001015.1",329,1021,"-",,,"HEP_00417000","VWU52209.1",213,"small heat shock protein, putative"
"Un","CABPSV020001015.1",2662,4707,"-",,,"HEP_00417100","VWU52210.1",613,"conserved protein, unknown function"
"Un","CABPSV020001016.1",2,1339,"-",,,"HEP_00417200","VWU52211.1",445,"chromatin assembly factor 1 protein WD40 domain, putative"
"Un","CABPSV020001016.1",2963,3646,"-",,,"HEP_00417300","VWU52212.1",227,"conserved protein, unknown function"
"Un","CABPSV020001017.1",282,2580,"-",,,"HEP_00417400","VWU52213.1",678,"ferrodoxin reductase-like protein"
"Un","CABPSV020001017.1",4337,5003,"-",,,"HEP_00417500","VWU52214.1",78,"conserved protein, unknown function"
"Un","CABPSV020001018.1",130,4806,"-",,,"HEP_00417600","VWU52215.1",1558,"unnamed protein product"
"Un","CABPSV020001019.1",527,4965,"-",,,"HEP_00417700","VWU52216.1",1301,"calcium-transporting ATPase, putative"
"Un","CABPSV020000102.1",1,324,"-",,,"HEP_00096000","VWU49023.1",56,"hypothetical protein HEP_00096000, partial"
"Un","CABPSV020000102.1",2958,5780,"-",,,"HEP_00096100","VWU49024.1",823,"cell division cycle protein 48 homologue, putative"
"Un","CABPSV020000102.1",8833,13269,"-",,,"HEP_00096200","VWU49025.1",1478,"acyl-CoA synthetase"
"Un","CABPSV020000102.1",14391,17081,"-",,,"HEP_00096300","VWU49026.1",896,"conserved protein, unknown function"
"Un","CABPSV020000102.1",17890,20427,"-",,,"HEP_00096400","VWU49027.1",655,"conserved protein, unknown function"
"Un","CABPSV020000102.1",22055,30120,"-",,,"HEP_00096500","VWU49028.1",2687,"conserved membrane protein, unknown function, partial"
"Un","CABPSV020001020.1",999,4619,"-",,,"HEP_00417800","VWU52217.1",1206,"LCCL domain-containing protein, putative"
"Un","CABPSV020001021.1",727,2386,"-",,,"HEP_00417900","VWU52218.1",502,"golgi re-assembly stacking protein, putative"
"Un","CABPSV020001021.1",3203,4893,"-",,,"HEP_00418000","VWU52219.1",533,"enoyl-CoA hydratase-related protein, putative"
"Un","CABPSV020001022.1",281,441,"-",,,"HEP_00418100","VWU52220.1",53,"hypothetical protein HEP_00418100, partial"
"Un","CABPSV020001022.1",2591,4484,"-",,,"HEP_00418200","VWU52221.1",512,"coproporphyrinogen-III oxidase, putative"
"Un","CABPSV020001023.1",1721,3820,"-",,,"HEP_00418300","VWU52222.1",699,"conserved protein, unknown function"
"Un","CABPSV020001024.1",30,4689,"-",,,"HEP_00418400","VWU52223.1",1519,"WD repeat-containing protein, putative, partial"
"Un","CABPSV020001025.1",1,3802,"-",,,"HEP_00418500","VWU52224.1",1207,"valine--tRNA ligase, putative, partial"
"Un","CABPSV020001026.1",558,1685,"-",,,"HEP_00418600","VWU52225.1",375,"serine/threonine protein kinase"
"Un","CABPSV020001026.1",1870,4845,"-",,,"HEP_00418700","VWU52226.1",991,"conserved protein, unknown function"
"Un","CABPSV020001027.1",107,1594,"-",,,"HEP_00418800","VWU52227.1",495,"conserved protein, unknown function"
"Un","CABPSV020001027.1",2511,4465,"-",,,"HEP_00418900","VWU52228.1",430,"tyrosine--tRNA ligase"
"Un","CABPSV020001028.1",2012,4145,"-",,,"HEP_00419000","VWU52229.1",309,"conserved protein, unknown function"
"Un","CABPSV020001029.1",1016,4819,"-",,,"HEP_00419100","VWU52230.1",1267,"conserved protein, unknown function"
"Un","CABPSV020000103.1",288,4100,"-",,,"HEP_00096600","VWU49029.1",1270,"ADP-dependent DNA helicase RecQ"
"Un","CABPSV020000103.1",5958,10568,"-",,,"HEP_00096700","VWU49030.1",1415,"coatamer beta subunit, putative"
"Un","CABPSV020000103.1",13851,15074,"-",,,"HEP_00096800","VWU49031.1",407,"mitochondrial ribosomal protein L15 precursor, putative"
"Un","CABPSV020000103.1",15722,16444,"-",,,"HEP_00096900","VWU49032.1",240,"conserved protein, unknown function"
"Un","CABPSV020000103.1",17852,20111,"-",,,"HEP_00097000","VWU49033.1",745,"diphthamide biosynthesis protein 2, putative"
"Un","CABPSV020000103.1",20861,22909,"-",,,"HEP_00097100","VWU49034.1",682,"conserved membrane protein, unknown function"
"Un","CABPSV020000103.1",26130,28955,"-",,,"HEP_00097200","VWU49035.1",941,"protein phosphatase 2C, putative"
"Un","CABPSV020001030.1",2,1092,"-",,,"HEP_00419200","VWU52231.1",364,"conserved protein, unknown function, partial"
"Un","CABPSV020001031.1",1026,3746,"-",,,"HEP_00419300","VWU52232.1",906,"conserved protein, unknown function"
"Un","CABPSV020001032.1",114,4548,"-",,,"HEP_00419400","VWU52233.1",1241,"conserved protein, unknown function, partial"
"Un","CABPSV020001033.1",634,2100,"-",,,"HEP_00419500","VWU52234.1",348,"pyridoxal kinase, putative"
"Un","CABPSV020001033.1",2706,3486,"-",,,"HEP_00419600","VWU52235.1",147,"conserved protein, unknown function"
"Un","CABPSV020001034.1",204,4603,"-",,,"HEP_00419700","VWU52236.1",1465,"phosphatase, putative, partial"
"Un","CABPSV020001035.1",882,2888,"-",,,"HEP_00419800","VWU52237.1",668,"mitochondrial cardiolipin synthase, putative"
"Un","CABPSV020001036.1",979,1431,"-",,,"HEP_00419900","VWU52238.1",150,"DnaJ protein, putative"
"Un","CABPSV020001036.1",2333,2976,"-",,,"HEP_00420000","VWU52239.1",82,"mitochondrial inner membrane TIM10 associated protein, putative"
"Un","CABPSV020001036.1",4229,4678,"-",,,"HEP_00420100","VWU52240.1",52,"50S ribosomal protein L28, apicoplast, putative, partial"
"Un","CABPSV020001037.1",789,1630,"-",,,"HEP_00420300","VWU52241.1",156,"elongation factor 1 (EF-1), putative"
"Un","CABPSV020001037.1",2861,4105,"-",,,"HEP_00420400","VWU52242.1",264,"RNA-binding protein, putative"
"Un","CABPSV020001038.1",307,4856,"-",,,"HEP_00420500","VWU52243.1",1407,"myosin C, partial"
"Un","CABPSV020001039.1",1,459,"-",,,"HEP_00420600","VWU52244.1",152,"conserved protein, unknown function, partial"
"Un","CABPSV020000104.1",1431,2494,"-",,,"HEP_00097300","VWU49036.1",221,"conserved protein, unknown function"
"Un","CABPSV020000104.1",2928,4941,"-",,,"HEP_00097400","VWU49037.1",213,"phosducin-like protein 2, putative"
"Un","CABPSV020000104.1",6139,8119,"-",,,"HEP_00097500","VWU49038.1",395,"acetyl-CoA transporter, putative, partial"
"Un","CABPSV020000104.1",8483,10361,"-",,,"HEP_00097600","VWU49039.1",626,"delta-aminolevulinic acid synthetase, partial"
"Un","CABPSV020000104.1",12006,14363,"-",,,"HEP_00097700","VWU49040.1",572,"conserved protein, unknown function"
"Un","CABPSV020000104.1",15570,16499,"-",,,"HEP_00097800","VWU49041.1",309,"conserved protein, unknown function"
"Un","CABPSV020000104.1",18077,20611,"-",,,"HEP_00097900","VWU49042.1",599,"epsin, putative"
"Un","CABPSV020000104.1",23785,25303,"-",,,"HEP_00098000","VWU49043.1",179,"Acetyl-coenzyme A transporter 1, putative"
"Un","CABPSV020000104.1",26898,29705,"-",,,"HEP_00098100","VWU49044.1",809,"conserved protein, unknown function"
"Un","CABPSV020001040.1",295,4499,"-",,,"HEP_00420700","VWU52245.1",1262,"conserved protein, unknown function, partial"
"Un","CABPSV020001041.1",280,2744,"-",,,"HEP_00420800","VWU52246.1",298,"RING zinc finger protein, putative"
"Un","CABPSV020001042.1",343,3237,"-",,,"HEP_00420900","VWU52247.1",964,"conserved protein, unknown function"
"Un","CABPSV020001043.1",555,3068,"-",,,"HEP_00421000","VWU52248.1",837,"conserved protein, unknown function"
"Un","CABPSV020001044.1",1628,2684,"-",,,"HEP_00421100","VWU52249.1",153,"conserved protein, unknown function"
"Un","CABPSV020001045.1",693,3974,"-",,,"HEP_00421200","VWU52250.1",1093,"exosome complex exonuclease RRP44, putative"
"Un","CABPSV020001047.1",860,1834,"-",,,"HEP_00421300","VWU52252.1",207,"conserved protein, unknown function"
"Un","CABPSV020001047.1",3221,4783,"-",,,"HEP_00421400","VWU52253.1",403,"hypothetical protein HEP_00421400, partial"
"Un","CABPSV020001048.1",2,3225,"-",,,"HEP_00421500","VWU52254.1",939,"AP2 domain transcription factor, putative, partial"
"Un","CABPSV020001048.1",4175,4777,"-",,,"HEP_00421600","VWU52255.1",200,"Serine hydroxymethyltransferase, putative, partial"
"Un","CABPSV020001049.1",425,4772,"-",,,"HEP_00421700","VWU52256.1",1393,"conserved protein, unknown function, partial"
"Un","CABPSV020000105.1",851,1144,"-",,,"HEP_00098200","VWU49045.1",97,"dynein light chain, putative"
"Un","CABPSV020000105.1",3098,18950,"-",,,"HEP_00098300","VWU49046.1",5157,"dynein heavy chain, putative"
"Un","CABPSV020000105.1",19863,20398,"-",,,"HEP_00098400","VWU49047.1",83,"conserved protein, unknown function"
"Un","CABPSV020000105.1",21121,24129,"-",,,"HEP_00098500","VWU49048.1",1002,"tRNA pseudouridine synthase D, putative"
"Un","CABPSV020000105.1",25037,28382,"-",,,"HEP_00098600","VWU49049.1",883,"AP-4 complex subunit beta, putative"
"Un","CABPSV020001050.1",58,4584,"-",,,"HEP_00421800","VWU52257.1",1509,"conserved protein, unknown function, partial"
"Un","CABPSV020001051.1",1460,4526,"-",,,"HEP_00421900","VWU52258.1",265,"conserved membrane protein, unknown function"
"Un","CABPSV020001052.1",454,3420,"-",,,"HEP_00422000","VWU52259.1",988,"conserved protein, unknown function"
"Un","CABPSV020001054.1",190,867,"-",,,"HEP_00422300","VWU52260.1",225,"D-ribulose-5-phosphate 3-epimerase, putative"
"Un","CABPSV020001054.1",2369,3979,"-",,,"HEP_00422400","VWU52261.1",536,"conserved protein, unknown function"
"Un","CABPSV020001055.1",1406,4176,"-",,,"HEP_00422500","VWU52262.1",414,"phd finger protein, putative"
"Un","CABPSV020001056.1",233,4653,"-",,,"HEP_00422600","VWU52263.1",1472,"sentrin-specific protease 2, putative, partial"
"Un","CABPSV020001057.1",1681,4519,"-",,,"HEP_00422700","VWU52264.1",945,"conserved protein, unknown function, partial"
"Un","CABPSV020001058.1",233,2188,"-",,,"HEP_00422800","VWU52265.1",651,"conserved membrane protein, unknown function"
"Un","CABPSV020001058.1",3755,4724,"-",,,"HEP_00422900","VWU52266.1",322,"micro-fibrillar-associated protein, putative, partial"
"Un","CABPSV020001059.1",172,1470,"-",,,"HEP_00423000","VWU52267.1",207,"palmitoyltransferase, putative, partial"
"Un","CABPSV020001059.1",1484,3070,"-",,,"HEP_00423100","VWU52268.1",482,"peptide release factor, putative"
"Un","CABPSV020000106.1",1175,2758,"-",,,"HEP_00098700","VWU49050.1",527,"conserved protein, unknown function"
"Un","CABPSV020000106.1",3676,13945,"-",,,"HEP_00098800","VWU49051.1",1924,"centrosomal protein CEP76, putative"
"Un","CABPSV020000106.1",14271,15899,"-",,,"HEP_00098900","VWU49052.1",542,"phenylalanine--tRNA ligase, putative"
"Un","CABPSV020000106.1",18975,26119,"-",,,"HEP_00099000","VWU49053.1",2105,"conserved protein, unknown function"
"Un","CABPSV020000106.1",27187,28512,"-",,,"HEP_00099100","VWU49054.1",441,"cation/H+ antiporter, putative"
"Un","CABPSV020001060.1",755,4417,"-",,,"HEP_00423200","VWU52269.1",588,"arginine--tRNA ligase, putative"
"Un","CABPSV020001061.1",2,3774,"-",,,"HEP_00423300","VWU52270.1",1258,"AP2 domain transcription factor, putative, partial"
"Un","CABPSV020001062.1",677,4669,"-",,,"HEP_00423400","VWU52271.1",1330,"conserved protein, unknown function"
"Un","CABPSV020001063.1",290,1720,"-",,,"HEP_00423500","VWU52272.1",424,"conserved protein, unknown function, partial"
"Un","CABPSV020001063.1",3795,4679,"-",,,"HEP_00423600","VWU52273.1",295,"hypothetical protein HEP_00423600, partial"
"Un","CABPSV020001064.1",1384,2298,"-",,,"HEP_00423800","VWU52274.1",304,"mitochondrial ribosomal protein S9 precursor, putative"
"Un","CABPSV020001064.1",2727,4094,"-",,,"HEP_00423900","VWU52275.1",455,"apical exonemal protein"
"Un","CABPSV020001065.1",919,2284,"-",,,"HEP_00424000","VWU52276.1",191,"conserved protein, unknown function"
"Un","CABPSV020001065.1",3807,4651,"-",,,"HEP_00424100","VWU52277.1",280,"GTP cyclohydrolase I, partial"
"Un","CABPSV020001066.1",1799,4276,"-",,,"HEP_00424200","VWU52278.1",825,"dynamin-like protein"
"Un","CABPSV020001067.1",2350,3945,"-",,,"HEP_00424300","VWU52279.1",531,"EH domain-containing protein"
"Un","CABPSV020001068.1",9,3660,"-",,,"HEP_00424400","VWU52280.1",1216,"DEAD box ATP-dependent RNA helicase, putative, partial"
"Un","CABPSV020001069.1",2401,4520,"-",,,"HEP_00424500","VWU52281.1",705,"RNA-binding protein, putative, partial"
"Un","CABPSV020000107.1",2795,4451,"-",,,"HEP_00099200","VWU49055.1",478,"nucleoside transporter 4, putative"
"Un","CABPSV020000107.1",10828,13551,"-",,,"HEP_00099400","VWU49057.1",258,"RNA-binding protein, putative"
"Un","CABPSV020000107.1",13950,15257,"-",,,"HEP_00099500","VWU49058.1",208,"conserved protein, unknown function"
"Un","CABPSV020000107.1",16903,18573,"-",,,"HEP_00099600","VWU49059.1",556,"conserved protein, unknown function"
"Un","CABPSV020000107.1",19307,20005,"-",,,"HEP_00099700","VWU49060.1",57,"conserved protein, unknown function, partial"
"Un","CABPSV020000107.1",21116,21478,"-",,,"HEP_00099800","VWU49061.1",63,"conserved protein, unknown function"
"Un","CABPSV020000107.1",22726,23545,"-",,,"HEP_00099900","VWU49062.1",209,"apicoplast ribosomal protein L18 precursor, putative"
"Un","CABPSV020000107.1",24148,24362,"-",,,"HEP_00100000","VWU49063.1",70,"AP-3 complex subunit beta, putative, partial"
"Un","CABPSV020000107.1",26469,27848,"-",,,"HEP_00100100","VWU49064.1",459,"ATP-specific succinyl-CoA synthetase beta subunit, putative"
"Un","CABPSV020001070.1",1545,3756,"-",,,"HEP_00424600","VWU52282.1",731,"DnaJ protein, putative"
"Un","CABPSV020001071.1",386,4507,"-",,,"HEP_00424700","VWU52283.1",1373,"conserved protein, unknown function"
"Un","CABPSV020001072.1",2051,3436,"-",,,"HEP_00424800","VWU52284.1",461,"histone deacetylase 1, putative"
"Un","CABPSV020001073.1",2365,3969,"-",,,"HEP_00424900","VWU52285.1",534,"malate:quinone oxidoreductase, putative"
"Un","CABPSV020001075.1",505,4572,"-",,,"HEP_00425000","VWU52286.1",1356,"potassium channel, partial"
"Un","CABPSV020001076.1",1,619,"-",,,"HEP_00425100","VWU52287.1",159,"conserved protein, unknown function"
